uid,sid
1617,791
1618,792
1619,793
1620,794
1621,795
1623,796
1624,797
1622,798
1625,799
1628,800
1627,801
1629,802
1631,803
1633,804
1638,805
1632,806
1639,807
1636,808
1642,809
1640,810
1644,811
1645,812
1648,813
1651,814
1649,815
1653,816
1654,817
1656,818
1658,819
1660,820
1664,821
1661,822
1668,823
1667,824
1669,825
1671,826
1676,827
1673,828
1677,829
1679,830
1681,831
1684,832
1692,833
1691,834
1696,835
1697,836
1698,837
1699,838
1701,839
1703,840
1707,841
1705,842
1706,843
1708,844
1709,845
1713,846
1711,847
1712,848
1719,849
1721,850
1726,851
1724,852
1725,853
1728,854
1734,855
1733,856
1732,857
1737,858
1740,859
1741,860
1738,861
1746,862
1742,863
1744,864
1747,865
1749,866
1748,867
1751,868
1752,869
1755,870
1759,871
1756,872
1761,873
1766,874
1769,875
1767,876
1773,877
1774,878
1776,879
1778,880
1777,881
1784,882
1786,883
1787,884
1789,885
1790,886
1792,887
1794,888
1791,889
1795,890
1796,891
1797,892
1799,893
1800,894
1802,895
1804,896
1806,897
1805,898
1803,899
1807,900
1809,901
1810,902
1811,903
1814,904
1815,905
1816,906
1822,907
1823,908
1829,909
1824,910
1831,911
1827,912
1833,913
1832,914
1838,915
1841,916
1837,917
1845,918
1842,919
1851,920
1852,921
1853,922
1855,923
1856,924
1858,925
1864,926
1874,927
1865,928
1875,929
1880,930
1881,931
1884,932
1885,933
1882,934
1886,935
1889,936
1891,937
1894,938
1895,939
1897,940
1903,941
1905,942
1910,943
1911,944
1914,945
1912,946
1921,947
1922,948
1925,949
1919,950
1923,951
1931,952
1932,953
1934,954
1938,955
1939,956
1940,957
1941,958
1942,959
1943,960
1944,961
1949,962
1947,963
1952,964
1953,965
1956,966
1963,967
1964,968
1965,969
1957,970
1966,971
1970,972
1968,973
1971,974
1973,975
1977,976
1975,977
1979,978
1981,979
1983,980
1984,981
1985,982
1988,983
1986,984
1990,985
1989,986
1991,987
1996,988
1997,989
1993,990
